hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
8,2,5,leakyrelu,Dense,1024,32,4,0.0,0.9687500000000004,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,1024,32,5,0.0,0.9722222222222225,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,1024,32,1,0.0,0.9895833333333336,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,1024,32,2,0.0,0.9687500000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,1024,32,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,1024,32,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,Dense,1024,32,5,0.4,0.9722222222222224,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,1024,32,1,0.6666666666666666,0.7291666666666665,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,1024,32,2,0.2857142857142857,0.6874999999999999,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,1024,32,3,0.2857142857142857,0.6874999999999999,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,1024,32,4,0.2857142857142857,0.6874999999999999,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,Dense,1024,32,5,0.5,0.6874999999999999,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,1024,32,1,0.6666666666666666,0.9756944444444448,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,1024,32,2,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,1024,32,3,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,1024,32,4,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,ResDense,1024,32,5,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,1024,32,1,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,1024,32,2,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,1024,32,3,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,1024,32,4,0.3333333333333333,0.9965277777777781,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,ResDense,1024,32,5,0.6666666666666666,0.9722222222222225,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,1024,32,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,1024,32,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,1024,32,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,1024,32,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,ResDense,1024,32,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,1024,32,1,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,1024,32,2,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,1024,32,3,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,1024,32,4,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,ResDense,1024,32,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,ResDense,1024,32,1,0.4,0.9687500000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,ResDense,1024,32,2,0.4,0.9687500000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,ResDense,1024,32,3,0.0,0.9687500000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,ResDense,1024,32,4,0.6666666666666666,0.9756944444444449,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,ResDense,1024,32,5,0.3333333333333333,0.9791666666666671,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,ResDense,1024,32,1,0.0,0.9513888888888892,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,ResDense,1024,32,2,0.4,0.9513888888888892,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,ResDense,1024,32,3,0.0,0.9722222222222224,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,ResDense,1024,32,4,0.0,0.9722222222222224,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,ResDense,1024,32,5,0.6666666666666666,0.9722222222222224,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,ResDense,1024,32,1,0.4,0.9861111111111114,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,ResDense,1024,32,2,0.3333333333333333,0.9861111111111114,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,ResDense,1024,32,3,0.4,0.9861111111111114,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,ResDense,1024,32,4,0.4,0.9965277777777781,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,ResDense,1024,32,5,0.4,0.9756944444444449,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,ResDense,1024,32,1,0.0,0.9618055555555559,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,ResDense,1024,32,2,0.4,0.9895833333333336,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,ResDense,1024,32,3,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,ResDense,1024,32,4,0.0,0.9930555555555558,autoencoder,breast-cancer-wisconsin
16,2,5,leakyrelu,ResDense,1024,32,5,0.0,0.9826388888888893,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,ResDense,1024,32,1,0.0,0.9895833333333336,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,ResDense,1024,32,2,0.0,0.9409722222222225,autoencoder,breast-cancer-wisconsin
32,2,5,leakyrelu,ResDense,1024,32,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
